tower_id,lat,lng,operator,signal_score,frequency_mhz,tx_power_dbm,height_m,zone,radio,range_m,samples,avg_signal_dbm,mcc,mnc,lac,cellid
OCI_404_44_41102,12.91,77.61,Unknown,65,900,43,35,BTM Layout,GSM,4157,1,0,404,44,1400,41102
OCI_404_45_17903,12.91,77.6,Airtel,65,900,43,35,BTM Layout,GSM,1000,1,0,404,45,21863,17903
OCI_404_45_167937,12.91,77.61,Airtel,70,1800,46,30,BTM Layout,LTE,1000,1,0,404,45,1011,167937
OCI_404_45_61811,12.91,77.61,Airtel,65,900,43,35,BTM Layout,GSM,1000,1,0,404,45,25045,61811
OCI_404_86_6241,12.91,77.6,Vi,65,900,43,35,BTM Layout,GSM,1000,1,0,404,86,61011,6241
OCI_404_86_6242,12.91,77.61,Vi,65,900,43,35,BTM Layout,GSM,1000,1,0,404,86,61011,6242
OCI_404_45_26314199,12.91,77.61,Airtel,60,2100,43,30,BTM Layout,UMTS,1000,1,0,404,45,34012,26314199
OCI_404_45_52421,12.91,77.6,Airtel,65,900,43,35,BTM Layout,GSM,1000,1,0,404,45,21863,52421
OCI_404_45_6562,12.91,77.61,Airtel,65,900,43,35,BTM Layout,GSM,1000,1,0,404,45,25045,6562
OCI_404_45_24602,12.91,77.6,Airtel,65,900,43,35,BTM Layout,GSM,1317,1,0,404,45,21863,24602
OCI_404_45_26426155,12.9,77.63,Airtel,60,2100,43,30,HSR Layout,UMTS,1000,1,0,404,45,34034,26426155
OCI_405_34_13072,12.9,77.63,Unknown,65,900,43,35,HSR Layout,GSM,1000,1,0,405,34,11000,13072
OCI_405_34_161499,12.9,77.64,Unknown,60,2100,43,30,HSR Layout,UMTS,1000,1,0,405,34,10002,161499
OCI_404_86_20969470,12.9,77.63,Vi,60,2100,43,30,HSR Layout,UMTS,1000,1,0,404,86,21901,20969470
OCI_404_45_629505,12.9,77.63,Airtel,70,1800,46,30,HSR Layout,LTE,1000,1,0,404,45,1090,629505
OCI_404_86_20867285,12.9,77.63,Vi,60,2100,43,30,HSR Layout,UMTS,1000,1,0,404,86,21801,20867285
OCI_405_34_30423,12.9,77.64,Unknown,65,900,43,35,HSR Layout,GSM,1000,1,0,405,34,11000,30423
OCI_405_861_4045330,12.9,77.63,Jio,70,1800,46,30,HSR Layout,LTE,1000,1,0,405,861,19,4045330
